"","ID","householdID","communityID","xrtype","fa001","fa002","fa006","fe001","fe002","ff002_2","ff004_1","ff004_2","ff004_3","ff005bracket_min","ff012_1","ff012_3","ff013bracket_min","ff013bracket_max","fl020s6","fl022_1","fn014_w2_2_2_","fn017_w2"
"137","194037330001","1940373300","1940373",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"138","194037336001","1940373360","1940373",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"139","194037336002","1940373360","1940373",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"140","194037338001","1940373380","1940373",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"141","194037338002","1940373380","1940373",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"142","194037334001","1940373340","1940373",2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"143","194037334002","1940373340","1940373",2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"144","194037318002","1940373180","1940373",2,2,1,0,12,6,0,2200,0,0,0,0,0,0,0,0,0,0,0
"145","194037318001","1940373180","1940373",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
"146","194037349001","1940373490","1940373",1,2,1,0,10,7,0,4000,0,0,0,0,0,0,0,0,0,0,0
"147","194037349002","1940373490","1940373",1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"148","194037312001","1940373120","1940373",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"149","064028313003","0640283130","0640283",2,2,1,0,12,7,0,900,0,0,0,0,0,0,0,0,0,0,17
"150","064028313002","0640283130","0640283",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"151","064028316002","0640283160","0640283",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"152","064028316001","0640283160","0640283",2,2,1,0,6,7,0,5000,0,0,0,0,0,0,0,0,0,0,0
"153","064028307001","0640283070","0640283",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
