ID,householdID,ga002,ga003s3,ga003s5,ga003s6,ga004_w3_1s1,ga004_w3_1s3,ga004_w3_1s5
064033330001,0640333300,NA,NA,NA,NA,NA,NA,NA
064033341001,0640333410,36000,NA,NA,NA,NA,NA,NA
064033341002,0640333410,NA,NA,NA,NA,NA,NA,NA
064033324002,0640333240,NA,NA,5,NA,NA,NA,NA
064033324001,0640333240,NA,NA,5,NA,NA,NA,NA
064033333001,0640333330,27000,NA,NA,NA,NA,NA,NA
064033306002,0640333060,45000,NA,NA,NA,NA,NA,NA
064033306001,0640333060,NA,NA,NA,NA,NA,NA,NA
064033301002,0640333010,NA,NA,NA,NA,NA,NA,NA
064033301001,0640333010,NA,NA,NA,NA,NA,NA,NA
064033342002,0640333420,NA,NA,NA,NA,NA,NA,NA
064033342001,0640333420,NA,3,NA,NA,NA,NA,NA
064033331002,0640333310,NA,NA,5,NA,NA,NA,NA
064033331001,0640333310,NA,NA,NA,NA,NA,NA,NA
064033303001,0640333030,NA,3,NA,NA,NA,NA,NA
064033340001,0640333400,NA,NA,NA,NA,NA,NA,NA
064033340002,0640333400,NA,NA,NA,NA,NA,NA,NA
064033336001,0640333360,5000,NA,NA,NA,NA,NA,NA
064033304002,0640333040,NA,NA,NA,NA,NA,NA,NA
064033304001,0640333040,NA,3,NA,NA,NA,NA,NA
064033343001,0640333430,NA,NA,NA,NA,NA,NA,NA
064033337001,0640333370,NA,NA,NA,NA,NA,NA,NA
064033307001,0640333070,NA,NA,NA,NA,NA,NA,NA
064033326001,0640333260,2400,3,NA,NA,1,NA,5
064033326002,0640333260,NA,3,NA,NA,1,NA,5
064033320001,0640333200,NA,3,NA,NA,NA,NA,NA
064033308001,0640333080,360,3,NA,NA,NA,NA,NA
064033334001,0640333340,NA,NA,NA,NA,NA,NA,NA
064033319002,0640333190,NA,NA,NA,NA,NA,NA,NA
064033319001,0640333190,NA,NA,NA,NA,NA,NA,NA
064033313002,0640333130,NA,NA,NA,NA,NA,NA,NA
064033313001,0640333130,NA,NA,NA,NA,NA,NA,NA
064033316002,0640333160,NA,3,NA,NA,NA,NA,NA
064033335002,0640333350,NA,NA,NA,NA,NA,NA,NA
064033335001,0640333350,NA,NA,NA,NA,NA,NA,NA
064033314002,0640333140,NA,NA,NA,NA,NA,NA,NA
064033314001,0640333140,NA,NA,NA,NA,NA,NA,NA
064033318001,0640333180,20000,NA,NA,NA,NA,NA,NA
064033318002,0640333180,NA,NA,NA,NA,NA,NA,NA
064033328001,0640333280,14400,NA,NA,NA,NA,NA,NA
064033328002,0640333280,1500,NA,NA,NA,NA,NA,NA
064033338002,0640333380,NA,NA,NA,NA,NA,NA,NA
064033317001,0640333170,NA,3,NA,NA,NA,NA,NA
064033323001,0640333230,NA,NA,NA,NA,NA,NA,NA
064033339001,0640333390,NA,3,NA,NA,NA,NA,NA
064033302001,0640333020,NA,3,NA,NA,NA,NA,NA
064033302002,0640333020,NA,3,NA,NA,NA,NA,NA
064033309001,0640333090,NA,NA,NA,NA,NA,NA,NA
064033309002,0640333090,12000,NA,NA,NA,NA,NA,NA
064033329002,0640333290,NA,NA,5,NA,NA,NA,NA
064033329001,0640333290,NA,NA,5,NA,NA,NA,NA
064033312001,0640333120,NA,NA,NA,NA,NA,NA,NA
064033312002,0640333120,NA,NA,NA,NA,NA,NA,NA
064033311002,0640333110,20000,NA,NA,NA,NA,NA,NA
064033311001,0640333110,NA,NA,NA,NA,NA,NA,NA
064033332002,0640333320,8000,NA,NA,NA,NA,NA,NA
064033332001,0640333320,NA,NA,NA,NA,NA,NA,NA
064033310001,0640333100,NA,NA,NA,NA,NA,NA,NA
064033310002,0640333100,20000,NA,NA,NA,NA,NA,NA
064033221001,0640332210,NA,NA,NA,NA,NA,NA,NA
064033221002,0640332210,NA,NA,NA,NA,NA,NA,NA
064033234001,0640332340,NA,3,NA,NA,1,NA,5
064033207001,0640332070,30000,NA,NA,NA,NA,NA,NA
064033207002,0640332070,10000,NA,NA,NA,NA,NA,NA
064033223002,0640332230,NA,NA,NA,NA,NA,NA,NA
064033223001,0640332230,NA,NA,NA,NA,NA,NA,NA
064033212001,0640332120,NA,NA,NA,NA,NA,NA,NA
064033212002,0640332120,NA,NA,NA,NA,NA,NA,NA
064033219001,0640332190,3000,NA,NA,NA,NA,NA,NA
064033219002,0640332190,NA,NA,NA,NA,NA,NA,NA
064033215001,0640332150,NA,NA,NA,NA,NA,NA,NA
064033225001,0640332250,9000,NA,NA,NA,NA,NA,NA
064033213002,0640332130,NA,NA,NA,NA,NA,NA,NA
064033213001,0640332130,NA,NA,NA,NA,NA,NA,NA
064033232001,0640332320,NA,NA,NA,NA,NA,NA,NA
064033232002,0640332320,NA,NA,NA,NA,NA,NA,NA
064033201002,0640332010,NA,NA,NA,NA,NA,NA,NA
064033201001,0640332010,NA,NA,NA,NA,NA,NA,NA
064033208002,0640332080,NA,NA,NA,NA,NA,NA,NA
064033208001,0640332080,NA,NA,NA,NA,NA,NA,NA
064033230001,0640332300,NA,NA,NA,NA,NA,NA,NA
064033203001,0640332030,NA,NA,NA,NA,NA,NA,NA
064033209002,0640332090,NA,NA,NA,NA,NA,NA,NA
064033209001,0640332090,NA,NA,NA,NA,NA,NA,NA
064033206001,0640332060,NA,NA,NA,NA,NA,NA,NA
064033226001,0640332260,NA,NA,NA,NA,NA,NA,NA
064033226002,0640332260,NA,NA,NA,NA,NA,NA,NA
064033220002,0640332200,40000,NA,NA,NA,NA,NA,NA
064033220001,0640332200,NA,NA,NA,NA,NA,NA,NA
064033210002,0640332100,NA,NA,NA,NA,NA,NA,NA
064033210001,0640332100,NA,NA,NA,NA,NA,NA,NA
064033228001,0640332280,NA,NA,5,NA,NA,NA,NA
064033228002,0640332280,NA,NA,5,NA,NA,NA,NA
064033217002,0640332170,10000,NA,NA,NA,NA,NA,NA
064033217001,0640332170,NA,NA,NA,NA,NA,NA,NA
064033231001,0640332310,NA,NA,NA,NA,NA,NA,NA
064033231002,0640332310,NA,NA,NA,NA,NA,NA,NA
064033211001,0640332110,NA,NA,NA,NA,NA,NA,NA
064033211002,0640332110,NA,NA,NA,NA,NA,NA,NA
064033235002,0640332350,NA,3,NA,NA,NA,NA,NA
064033235001,0640332350,NA,NA,NA,NA,NA,NA,NA
064033224001,0640332240,NA,NA,NA,NA,NA,NA,NA
064033224002,0640332240,NA,NA,NA,NA,NA,NA,NA
064033216002,0640332160,NA,NA,NA,NA,NA,NA,NA
064033216001,0640332160,NA,NA,NA,NA,NA,NA,NA
064033229001,0640332290,NA,3,NA,NA,NA,NA,NA
064033229002,0640332290,NA,3,NA,NA,NA,NA,NA
064033202001,0640332020,NA,NA,NA,NA,NA,NA,NA
064033218001,0640332180,NA,NA,NA,NA,NA,NA,NA
064033218002,0640332180,NA,NA,NA,NA,NA,NA,NA
064033214002,0640332140,NA,NA,NA,NA,NA,NA,NA
064033222001,0640332220,NA,NA,NA,NA,NA,NA,NA
064033222002,0640332220,NA,NA,NA,NA,NA,NA,NA
064033204002,0640332040,NA,NA,NA,NA,NA,NA,NA
064033204001,0640332040,NA,NA,NA,NA,NA,NA,NA
064033103001,0640331030,NA,NA,5,NA,NA,NA,NA
064033122003,0640331220,NA,NA,NA,NA,NA,NA,NA
064033110001,0640331100,NA,3,NA,NA,NA,NA,NA
064033108001,0640331080,NA,NA,NA,NA,NA,NA,NA
064033127002,0640331270,15000,NA,NA,NA,NA,NA,NA
064033127001,0640331270,NA,NA,NA,NA,NA,NA,NA
064033120001,0640331200,NA,NA,NA,NA,NA,NA,NA
064033120002,0640331200,NA,NA,NA,NA,NA,NA,NA
064033123002,0640331230,NA,NA,NA,NA,NA,NA,NA
064033123001,0640331230,NA,NA,NA,NA,NA,NA,NA
064033130002,0640331300,42000,NA,NA,NA,NA,NA,NA
064033130001,0640331300,NA,NA,NA,NA,NA,NA,NA
064033119002,0640331190,NA,NA,NA,NA,NA,NA,NA
064033119001,0640331190,NA,NA,NA,NA,NA,NA,NA
064033128001,0640331280,30000,NA,NA,NA,NA,NA,NA
064033109002,0640331090,20000,NA,NA,NA,NA,NA,NA
064033109001,0640331090,24000,NA,NA,NA,NA,NA,NA
064033117002,0640331170,NA,3,NA,NA,NA,NA,NA
064033117001,0640331170,NA,3,NA,NA,1,NA,5
064033106001,0640331060,NA,NA,NA,NA,NA,NA,NA
064033106002,0640331060,NA,NA,NA,NA,NA,NA,NA
064033116001,0640331160,NA,NA,NA,NA,NA,NA,NA
064033116002,0640331160,NA,NA,NA,NA,NA,NA,NA
064033101001,0640331010,NA,NA,NA,NA,NA,NA,NA
064033124001,0640331240,NA,NA,NA,NA,NA,NA,NA
064033124002,0640331240,NA,NA,NA,NA,NA,NA,NA
064033129001,0640331290,NA,NA,NA,NA,NA,NA,NA
064033102002,0640331020,10000,NA,NA,NA,NA,NA,NA
